wickets,matches,player,team
15,9,IK Pathan,Mumbai Indians
15,6,SP Narine,Mumbai Indians
14,10,A Mishra,Mumbai Indians
14,10,I Sharma,Mumbai Indians
14,10,R Ashwin,Mumbai Indians
14,7,RP Singh,Mumbai Indians
12,6,SL Malinga,Pune Warriors
10,5,R Vinay Kumar,Pune Warriors
10,4,A Mishra,Pune Warriors
7,4,MM Patel,Pune Warriors
7,4,L Balaji,Pune Warriors
6,5,Harbhajan Singh,Pune Warriors
6,5,PP Ojha,Pune Warriors
6,2,AD Mascarenhas,Pune Warriors
6,3,DE Bollinger,Pune Warriors
6,3,Harmeet Singh,Pune Warriors
26,12,A Mishra,Rajasthan Royals
14,8,JA Morkel,Rajasthan Royals
14,9,PP Chawla,Rajasthan Royals
13,8,RP Singh,Rajasthan Royals
13,6,RA Jadeja,Rajasthan Royals
13,8,DW Steyn,Rajasthan Royals
11,6,B Kumar,Rajasthan Royals
11,7,R Vinay Kumar,Rajasthan Royals
11,9,SL Malinga,Rajasthan Royals
11,6,MF Maharoof,Rajasthan Royals
5,2,SR Watson,Rising Pune Supergiants
4,1,KW Richardson,Rising Pune Supergiants
4,2,A Nehra,Rising Pune Supergiants
4,2,MM Sharma,Rising Pune Supergiants
3,1,JJ Bumrah,Rising Pune Supergiants
3,2,Sandeep Sharma,Rising Pune Supergiants
2,2,Harbhajan Singh,Rising Pune Supergiants
2,2,DJ Bravo,Rising Pune Supergiants
2,1,PP Chawla,Rising Pune Supergiants
2,2,Shakib Al Hasan,Rising Pune Supergiants
2,1,Gurkeerat Singh,Rising Pune Supergiants
2,1,Imran Tahir,Rising Pune Supergiants
2,1,PV Tambe,Rising Pune Supergiants
2,2,B Kumar,Rising Pune Supergiants
2,2,MC Henriques,Rising Pune Supergiants
2,1,RA Jadeja,Rising Pune Supergiants
21,11,A Nehra,Royal Challengers Bangalore
18,10,Harbhajan Singh,Royal Challengers Bangalore
18,10,PP Chawla,Royal Challengers Bangalore
16,10,L Balaji,Royal Challengers Bangalore
15,9,JA Morkel,Royal Challengers Bangalore
14,8,DS Kulkarni,Royal Challengers Bangalore
13,7,PP Ojha,Royal Challengers Bangalore
12,7,A Mishra,Royal Challengers Bangalore
12,6,MS Gony,Royal Challengers Bangalore
12,6,RJ Harris,Royal Challengers Bangalore
12,6,Sandeep Sharma,Royal Challengers Bangalore
12,6,DJ Bravo,Sunrisers Hyderabad
12,4,JP Faulkner,Sunrisers Hyderabad
11,5,SL Malinga,Sunrisers Hyderabad
10,6,SR Watson,Sunrisers Hyderabad
9,5,MM Sharma,Sunrisers Hyderabad
9,4,UT Yadav,Sunrisers Hyderabad
9,5,M Morkel,Sunrisers Hyderabad
8,6,Sandeep Sharma,Sunrisers Hyderabad
7,3,MJ McClenaghan,Sunrisers Hyderabad
7,3,R Bhatia,Sunrisers Hyderabad
7,4,DS Kulkarni,Sunrisers Hyderabad
7,4,AB Dinda,Sunrisers Hyderabad
