team,vs,wins,losses
Kolkata Knight Riders,Rajasthan Royals,6,9
Kolkata Knight Riders,Rising Pune Supergiants,2,0
Kolkata Knight Riders,Royal Challengers Bangalore,9,9
Kolkata Knight Riders,Sunrisers Hyderabad,6,3
Mumbai Indians,Chennai Super Kings,12,10
Mumbai Indians,Deccan Chargers,6,4
Mumbai Indians,Delhi Daredevils,9,9
Mumbai Indians,Kings XI Punjab,9,9
Mumbai Indians,Kolkata Knight Riders,13,5
Mumbai Indians,Pune Warriors,5,1
Mumbai Indians,Rajasthan Royals,10,6
Mumbai Indians,Rising Pune Supergiants,1,1
Mumbai Indians,Royal Challengers Bangalore,11,8
Mumbai Indians,Sunrisers Hyderabad,4,4
Pune Warriors,Chennai Super Kings,2,4
Pune Warriors,Deccan Chargers,1,3
Pune Warriors,Delhi Daredevils,2,3
Pune Warriors,Kings XI Punjab,3,3
Pune Warriors,Kochi Tuskers Kerala,1,0
Pune Warriors,Kolkata Knight Riders,1,4
Pune Warriors,Mumbai Indians,1,5
Pune Warriors,Rajasthan Royals,1,4
Rajasthan Royals,Chennai Super Kings,6,11
Rajasthan Royals,Deccan Chargers,7,2
Rajasthan Royals,Delhi Daredevils,10,6
Rajasthan Royals,Kings XI Punjab,9,6
Rajasthan Royals,Kochi Tuskers Kerala,1,1
Rajasthan Royals,Kolkata Knight Riders,9,6
Rajasthan Royals,Mumbai Indians,6,10
Rajasthan Royals,Pune Warriors,4,1
Rajasthan Royals,Royal Challengers Bangalore,7,8
Rajasthan Royals,Sunrisers Hyderabad,4,3
Rising Pune Supergiants,Delhi Daredevils,2,2
Rising Pune Supergiants,Kings XI Punjab,1,1
Rising Pune Supergiants,Mumbai Indians,1,1
Rising Pune Supergiants,Sunrisers Hyderabad,1,1
Royal Challengers Bangalore,Chennai Super Kings,7,12
Royal Challengers Bangalore,Deccan Chargers,5,6
Royal Challengers Bangalore,Delhi Daredevils,10,6
Royal Challengers Bangalore,Gujarat Lions,2,1
Royal Challengers Bangalore,Kings XI Punjab,8,10
Royal Challengers Bangalore,Kochi Tuskers Kerala,2,0
Royal Challengers Bangalore,Kolkata Knight Riders,9,9
Royal Challengers Bangalore,Mumbai Indians,8,11
Royal Challengers Bangalore,Pune Warriors,5,0
Royal Challengers Bangalore,Rajasthan Royals,8,7
Royal Challengers Bangalore,Rising Pune Supergiants,2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,4,5
Sunrisers Hyderabad,Chennai Super Kings,2,4
Sunrisers Hyderabad,Delhi Daredevils,5,3
Sunrisers Hyderabad,Gujarat Lions,3,0
Sunrisers Hyderabad,Kings XI Punjab,6,2
Sunrisers Hyderabad,Kolkata Knight Riders,3,6
Sunrisers Hyderabad,Mumbai Indians,4,4
Sunrisers Hyderabad,Pune Warriors,2,0
Sunrisers Hyderabad,Rajasthan Royals,3,4
Sunrisers Hyderabad,Rising Pune Supergiants,1,1
Sunrisers Hyderabad,Royal Challengers Bangalore,5,4
